input,word_1,word_2,word_3,word_4,pos_1,pos_2,pos_3,pos_4,def_1,def_2,def_3,def_4,sent_1,sent_2,sent_3,sent_4,ipa,pic,speech
cochon,"COCHON, ONNE,","Cochonnée,","Cochonnément,","Cochonnier,",subst. et adj.,"subst. fém.,","adv.,","subst. masc.,","Mammifère omnivore domestique, de l'ordre des ongulés, de la famille des suidés.",Portée d'une truie.,"D'une manière cochonne, malpropre.","Celui qui fait des cochonneries, qui fait son travail grossièrement ou se livre à des actions grossières.","J'entends grogner, derrière les panneaux, des cochons qui attendent leur pitance (T'Serstevens, L'Itinéraire espagnol,1933, p. 200):",Elle a fait tant de petits cochons en une cochonnée (Ac.1798-1878).,"Il ne fallait pas maintenant se cocarder cochonnément, si l'on voulait respecter les dames (Zola, L'Assommoir,1877, p. 457).","Ta dégaine de tocard, ta gueule pas bien franche, tes airs de cochonnier sournois (Aymé, Clérambard,1950, IV, 1, p. 190).",\koʃ-koʃ\,//upload.wikimedia.org/wikipedia/commons/thumb/8/86/All_animals_are_equal_but_some_animals_are_more_equal_than_others_-_panoramio.jpg/220px-All_animals_are_equal_but_some_animals_are_more_equal_than_others_-_panoramio.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/c/cf/Fr-cochon.ogg/Fr-cochon.ogg.mp3
renne,"RENNE,",,,,subst. masc.,,,,"Mammifère ruminant de la famille des Cervidés, de grande taille, aux bois aplatis et dentelés, vivant dans les régions froides de l'hémisphère nord et domestiqué par certains peuples (Lapons, Esquimaux, Finnois, etc.).",,,,"Les rennes du nord de l'Europe, les carribous et les orignaux de l'Amérique septentrionale, ont leur temps de migrations, toujours calculé comme celui des oiseaux, pour l'utilité et les besoins de l'homme (Chateaubr., Génie, t. 1, 1803, p. 197).",,,,\ʁɛn\,//upload.wikimedia.org/wikipedia/commons/thumb/a/af/20070818-0001-strolling_reindeer.jpg/220px-20070818-0001-strolling_reindeer.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/7/7a/Fr-renne.ogg/Fr-renne.ogg.mp3
vessie,"VESSIE,","Vétiole,",,,subst. fém.,"subst. fém.,",,,Poche membraneuse dans laquelle s'accumule l'urine sécrétée par les reins avant d'être expulsée par le canal de l'urètre.,Petite poche remplie d'air.,,,"C'est la volonté qui, pendant le sommeil, maintient la contraction du sphincter de la vessie (Cabanis, Rapp. phys. et mor., t. 2, 1808, p. 380).","Le goudron qui enduisait les poutres et que la grande chaleur gonflait de vétioles pustuleuses (Genevoix, Boîte à pêche, 1926, p. 99).",,,\ve.si\,,//upload.wikimedia.org/wikipedia/commons/transcoded/b/b2/Fr-vessie.ogg/Fr-vessie.ogg.mp3
inventer,"INVENTER,","Inventé, -ée,",,,verbe trans.,part. passé adj.,,,Trouver par la force de l'imagination créatrice et réaliser le premier quelque chose de nouveau.,"Original, neuf.",,,"Ces gens-là ne purent s'empêcher de rire du cérémonial inventé par M. le comte de Ségur pour le mariage de Napoléon avec Marie-Louise d'Autriche (Stendhal, Souv. égotisme,1832, p. 34).","Saint-Simon était possédé (...) de la passion d'observer, de creuser les caractères (...), dans un style vif, ardent, inventé, d'un incroyable jet, et d'un relief que jamais la langue n'avait atteint jusque-là (Sainte-Beuve, Caus. lundi, t. 3, 1851, p. 274).",,,\ɛ̃.vɑ̃.te\,,//upload.wikimedia.org/wikipedia/commons/transcoded/6/63/Fr-inventer.ogg/Fr-inventer.ogg.mp3
bellâtre,"BELLÂTRE,",,,,subst. et adj.,,,,"Personne dont la beauté est fade, sans expression ni caractère :",,,,"1. Portant beau (...) le monocle à l'œil, Boisgelin était un grand bellâtre, aux yeux gris, au nez fort, les moustaches cirées...
Zola, Travail,t. 1, 1901, p. 97.",,,,\bɛ.lɑtʁ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/e/ef/Bell%C3%A2tre.ogg/Bell%C3%A2tre.ogg.mp3
carrure,"CARRURE,",,,,subst. fém.,,,,"Forme carrée, régulière d'un monument :",,,,"1. Notre-Dame de Paris n'a point, comme l'abbaye de Tournus, la grave et massive carrure, la ronde et large voûte, la nudité glaciale, la majestueuse simplicité des édifices qui ont le plein cintre pour générateur.
Hugo, Notre-Dame de Paris,1832, p. 130.",,,,\ka.ʁyʁ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/8/8c/LL-Q150_%28fra%29-LoquaxFR-carrure.wav/LL-Q150_%28fra%29-LoquaxFR-carrure.wav.mp3
mensonge,"MENSONGE,","Mensonginet,",,,subst. masc.,subst. masc.,,,Affirmation contraire à la vérité faite dans l'intention de tromper.,Petit mensonge.,,,"Elle prétendit d'abord avoir la migraine; puis elle rougit de ce mensonge et le pallia soudain en disant qu'elle ne me voyait point partir sans regret (Balzac,Lys,1836, p. 152).","Un joli petit mensonginet vaut souvent mieux qu'une épaisse vérité (Labiche,Misanthr. et Auv.,1852, I, 19, p. 197).",,,\mɑ̃.sɔ̃ʒ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/2/23/Fr-mensonge.ogg/Fr-mensonge.ogg.mp3
allécher,"ALLÉCHER,",,,,verbe trans.,,,,Exercer un attrait presque irrésistible.,,,,"1. À dîner, Delzeuze; le soir, Chéruel et sa femme, Percot. Delzeuze a perdu d'abord l'abbé Lassave, puis son chien, alléché par la cuisine des voisins.
J. Michelet, Journal,juin 1842, p. 408.",,,,\a.le.ʃe\,,//upload.wikimedia.org/wikipedia/commons/transcoded/8/8f/Fr-all%C3%A9cher.ogg/Fr-all%C3%A9cher.ogg.mp3
couver,"COUVER,",,,,verbe.,,,,Rester posé sur (les œufs) de manière à (les) faire éclore.,,,,"Une brave mère poule qui couve jalousement son œuf (Rolland, J.-Chr.,Amies, 1910, p. 1118):",,,,\ku.ve\,//upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Dinde_de_Ronqui%C3%A8res_%28couvaison%29_J4.jpg/220px-Dinde_de_Ronqui%C3%A8res_%28couvaison%29_J4.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/b/bb/Fr-couver.ogg/Fr-couver.ogg.mp3
têtard,"TÊTARD,",,,,subst. masc.,,,,"Larve des Batraciens, à grosse tête prolongée directement par le corps, à respiration branchiale et à vie exclusivement aquatique.",,,,"[Je] jetais dans la Vivonne des boulettes [de pain] qui semblaient suffire pour y provoquer un phénomène de sursaturation, car l'eau se solidifiait aussitôt autour d'elles en grappes ovoïdes de têtards inanitiés qu'elle tenait sans doute jusque-là en dissolution, invisibles (Proust, Swann, 1913, p. 168).",,,,\tɛ.taʁ\,//upload.wikimedia.org/wikipedia/commons/thumb/1/13/Litoria_xanthomera_tadpole.jpg/220px-Litoria_xanthomera_tadpole.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/b/b3/Fr-t%C3%AAtard.ogg/Fr-t%C3%AAtard.ogg.mp3
tonitruant,"TONITRUANT, -ANTE,",,,,adj.,,,,Qui retentit comme le tonnerre.,,,,"Vous êtes premièrement impitoyable pour les inférieurs, doué vis-à-vis d'eux d'une voix tonitruante, d'une stature, et deuxièmement (...) vous êtes vis-à-vis des puissants, fluet, bossu et à voix de fausset (Giraudoux, Bella, 1926, p. 93).",,,,\tɔ.ni.tʁy.ɑ̃\,,//upload.wikimedia.org/wikipedia/commons/transcoded/a/ae/LL-Q150_%28fra%29-DenisdeShawi-tonitruant.wav/LL-Q150_%28fra%29-DenisdeShawi-tonitruant.wav.mp3
torchon,"TORCHON,",,,,subst. masc.,,,,Bouchon de paille.,,,,"Ces vieux chapeaux sur un torchon de paille qu'on plante dans les blés pour effrayer les moineaux (Erckm.-Chatr., Hist. paysan, t. 2, 1870, p. 236).",,,,\tɔʁ.ʃɔ̃ɔ̃\,,//upload.wikimedia.org/wikipedia/commons/transcoded/e/e1/Fr-torchon.ogg/Fr-torchon.ogg.mp3
égratignure,"ÉGRATIGNURE,",,,,subst. fém.,,,,Légère blessure caractérisé par une déchirure superficielle (de la peau).,,,,"Des doigts, couverts des égratignures qu'elle s'était faites en se grattant furieusement (Montherl., Lépreuses,1939, p. 1399).",,,,\e.ɡʁa.ti.ɲyʁ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/2/23/LL-Q150_%28fra%29-VictorDtmtc-%C3%A9gratignure.wav/LL-Q150_%28fra%29-VictorDtmtc-%C3%A9gratignure.wav.mp3
boudeur,"BOUDEUR, EUSE,",,,,adj. et subst.,,,,"Qui boude souvent, qui manifeste de la bouderie :",,,,"1. Je reçois ta lettre. (...) je n'aime que ma petite Joséphine, bonne, boudeuse et capricieuse, qui sait faire une querelle avec grâce, comme tout ce qu'elle fait; ...
Napoléon Ier, Lettres à Joséphine,1807, p. 145.",,,,\bu.dœʁ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/3/32/LL-Q150_%28fra%29-WikiLucas00-boudeur.wav/LL-Q150_%28fra%29-WikiLucas00-boudeur.wav.mp3
heaume,"HEAUME,","Heaumet,",,,subst. masc.,"subst. masc.,",,,"Casque enveloppant la tête et le visage, muni d'ouvertures pour les yeux, que portaient les hommes d'armes au Moyen Âge.",Petit heaume.,,,"L'écuyer suivoit le chevalier à la guerre, portoit sa lance, et son heaume élevé sur le pommeau de la selle, et conduisoit ses chevaux, en les tenant par la droite (Chateaubr., Génie, t. 2, 1803, p. 487).","Avec nos heaumets de couleur, avec nos rondaches (Quinet, Ahasvérus,1833, 4ejournée, p. 367).",,,\om\,,
vacarme,"VACARME,","Vacarmer,",,,subst. masc.,"verbe intrans.,",,,"Grand bruit provoqué par des gens qui crient, se querellent ou s'amusent.",Faire du vacarme.,,,"Quand il sut qu'il était acquitté, il se laissa aller en arrière, avec un grand soupir. Dans la salle (...), un formidable vacarme éclatait (...). Amis, sympathisants (...) tous se précipitaient, tous voulaient (...) le féliciter, ajouter quelque chose encore au bonheur de cet homme heureux (Van der Meersch, Invas. 14, 1935, p. 489).","Au moment où je sors, la fanfare (...) vacarme sur l'esplanade (Huysmans, Foules Lourdes, 1906, p. 170).",,,\va.kaʁm\,,//upload.wikimedia.org/wikipedia/commons/transcoded/3/34/LL-Q150_%28fra%29-Guilhelma-vacarme.wav/LL-Q150_%28fra%29-Guilhelma-vacarme.wav.mp3
chardon,"CHARDON,","Chardonnette, cardonnette,",,,subst. masc.,"subst. fém.,",,,"Plante de la famille des Composées, aux feuilles et tiges épineuses, regardée comme la plante parasitaire par excellence et dont il existe de nombreuses variétés.",",,Espèce d'artichaut sauvage, dont la fleur sert à faire cailler le lait. On dit aussi cardonnette`` (Ac. 1835-1932).",,,"Les pierres sont sorties en si grand nombre que même les chardons ne peuvent y croître (Bloy, La Femme pauvre,1897, p. 287).",,,,\ʃaʁ.dɔ̃\,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Cicak_cvet.jpg/140px-Cicak_cvet.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/2/22/Fr-chardon.ogg/Fr-chardon.ogg.mp3
serre,"SERRE1,","Serriste,",,,subst. fém.,subst.,,,Action de soumettre à une pression; résultat de cette action.,Spécialiste de la culture en serres.,,,"Dans la préparation du Champagne on appelle première serre, deuxième serre, etc., les produits successifs du pressurage (...). La première serre donne le vin de cuvée (Lich.Vins1984).","Les entrepreneurs paysagistes, les pépiniéristes (...) et les serristes accroissent leur volume d'affaires (Le Soleil, 13 avr. 1985, E1, col. 2).",,,\sɛʁ\,//upload.wikimedia.org/wikipedia/commons/thumb/7/78/Hothouse_%28PSF%29.png/220px-Hothouse_%28PSF%29.png,//upload.wikimedia.org/wikipedia/commons/transcoded/e/e0/LL-Q150_%28fra%29-LoquaxFR-serre.wav/LL-Q150_%28fra%29-LoquaxFR-serre.wav.mp3
emparer,"EMPARER (S'),",,,,verbe pronom.,,,,Prendre possession de quelque chose.,,,,"Sans un coup de feu, les Anglais s'emparent de la Nouvelle-Amsterdam et du territoire de la Nouvelle-Hollande (Morand, New-York,1930, p. 13).",,,,\ɑ̃.pa.ʁe\,,//upload.wikimedia.org/wikipedia/commons/transcoded/d/d9/LL-Q150_%28fra%29-VictorDtmtc-emparer.wav/LL-Q150_%28fra%29-VictorDtmtc-emparer.wav.mp3
fouiner,"FOUINER,",,,,verbe intrans.,,,,",,Fuir, s'esquiver à la manière d'une fouine`` (Ac. 1932).",,,,"Dès qu'on va droit sur Villemain, il recule et il « fouine », comme on dit. Une plaisanterie surtout le rabat et l'éteint (Sainte-Beuve, Cahiers,1869, p. 29).",,,,\fwi.ne\,,//upload.wikimedia.org/wikipedia/commons/transcoded/9/96/LL-Q150_%28fra%29-Lyoko%C3%AF-fouiner.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-fouiner.wav.mp3
canaille,"CANAILLE,","Canaillement,","Canailler,","Canaillocratie,",subst. fém. et adj.,adv.,"verbe,","subst. fém.,","Partie la plus basse du peuple considérée comme méprisable dans ses idées, ses goûts, ses actes.",D'une manière canaille.,Se comporter en canaille (cf. supra I B).,Suprématie de la canaille (cf. supra I A).,"la canaille anarchique et sauvage (Amiel, Journal intime,1866, p. 500).","Ce mélange de choses si prudemment tempérées et si canaillement violentes (E. et J. de Goncourt, Journal,1876, p. 1148).","Où allez-vous canailler ainsi? (Giono, Angelo,1958, p. 65).","J'espère qu'un jour (...) nous pourrons parler de canaillocratie, les fenêtres ouvertes! (J. de Maistre, Correspondance,t. 1, 1793, p. 54; cf. aussi Balzac, 
                                 Œuvres diverses, t. 3, 1850, p. 383).",\ka.naj\,,//upload.wikimedia.org/wikipedia/commons/transcoded/2/21/Fr-canaille.ogg/Fr-canaille.ogg.mp3
acharner,"ACHARNER,",,,,verbe trans.,,,,Donner le goût de la chair :,,,,"1. On acharne les chiens en leur donnant le goût et l'appétit de la chair.
Baudr.Chasses1834.",,,,\a.ʃaʁ.ne\,,//upload.wikimedia.org/wikipedia/commons/transcoded/d/d2/LL-Q150_%28fra%29-Lepticed7-acharner.wav/LL-Q150_%28fra%29-Lepticed7-acharner.wav.mp3
cafarder,"CAFARDER1,",,,,verbe intrans.,,,,"Avoir des idées noires, s'abandonner à la mélancolie :",,,,"... je regardais les tombes. (...) : Ah! tiens, vieux, parlons de ce que tu voudras; pas de ça! J'en ai assez, de cafarder depuis huit jours!
Genevoix, Au seuil des guitounes,1918, p. 32.",,,,\ka.faʁ.de\,,//upload.wikimedia.org/wikipedia/commons/transcoded/9/9d/LL-Q150_%28fra%29-LoquaxFR-cafarder.wav/LL-Q150_%28fra%29-LoquaxFR-cafarder.wav.mp3
plongeoir,"PLONGEOIR,",,,,subst. masc.,,,,Châssis à aiguilles employé dans les machines à broder. (Dict.xixeet xxes.).,,,,"Je l'observais ce matin au plongeoir. J'aime cet instant où l'homme se présente à la mer, droit, profilé, dans une soudaine et hautaine gravité, un rassemblement de sa force, de son humanité devant l'élément, puis s'incline tout droit comme oscille une planche, avant la détente du bond (Gracq, Beau tén., 1945, p.44).",,,,\plɔ̃.ʒwaʁ\,//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Bundesarchiv_Bild_183-14859-0011%2C_Leipzig%2C_Schwimmstadion%2C_Sprungturm.jpg/220px-Bundesarchiv_Bild_183-14859-0011%2C_Leipzig%2C_Schwimmstadion%2C_Sprungturm.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/d/da/LL-Q150_%28fra%29-LoquaxFR-plongeoir.wav/LL-Q150_%28fra%29-LoquaxFR-plongeoir.wav.mp3
marbre,"MARBRE,","Marbreur, -euse,",,,subst. masc.,"subst.,",,,"Calcaire (sous forme de calcite) compact, parsemé de fissures remplies de matières diversement colorées et dont certaines variétés sont très pures.","Ouvrier, ouvrière qui décore des papiers fantaisie en apposant des mélanges colorés qui produisent des effets de marbrures ou d'irisation (d'apr. Mét. 1955).",,,"Le marbre (ou CO3Ca pur) n'est pas décomposé à 900o(Saillard,Betterave, t. 1, 1923, p. 335).",Le marbreur marbre aussi les tranches et les couvertures des livres (Chesn.1857).,,,\maʁbʁ\,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Mineral_M%C3%A1rmore_GDFL020.jpg/220px-Mineral_M%C3%A1rmore_GDFL020.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/7/7d/Fr-marbre.ogg/Fr-marbre.ogg.mp3
écarquiller,"ÉCARQUILLER,",,,,verbe trans.,,,,Ouvrir en écartant démesurément :,,,,"Ducasse − un écarquillé. Il écarquille ses yeux tout ronds, il écarquille ses coudes pointus; il écarquille ses jambes qui tricotent; il écarquille sa bouche coupée en fente de tire-lire...
J. Vallès, Jacques Vingtras,L'Insurgé, 1885, p. 135.",,,,\e.kaʁ.ki.je\,,//upload.wikimedia.org/wikipedia/commons/transcoded/e/e1/LL-Q150_%28fra%29-Lyoko%C3%AF-%C3%A9carquiller.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-%C3%A9carquiller.wav.mp3
